连同刚才那一碗，他一共吃了三碗。	他连同刚才那一碗一共吃了三碗。
他是个心胸宽广的人，哪里会介意这点小事。	他是个心胸宽广的人，不会介意这点小事。
把人不当人看。	没把人当人看。
人人都知道这件事。	这件事家喻户晓。
唯有加深了解，才能相互信任与合作。	只有加深了解，才能相互信任与合作。
石头上刻着诗歌。	诗歌刻在石头上。
他们吃喝完了所有的家产。	他们所有的家产都被他们败完了。
他不比你强多少。	你不比他差什么。
他懒得去逛公园。	他不想去逛公园。
园子周围是一人高的木栅栏。	一人高的木栅栏在园子周围。
人人都看见了。	没有人没有看到。
植树节你们植树吗？	你们植树节植树吗？
我给了她一只笔。	她从我这里拿走了一支笔。
我们在哪些地方做的不对，或者不够令人满意？	哪些地方我们做的不对？
这个大男孩，宁可静静的坐着观察蚁群，也不愿去跟伙伴们爬树。	这个大男孩，相比跟伙伴们爬树更愿静静的坐着观察蚁群。
新同学已经办完了入学手续。	新同学的入学手续已经办完了。
不久，被雷劈中的那棵大树又长出了嫩绿的新芽。	被雷劈中后不久，嫩绿的新芽又从那棵大树上长出来了。
她没学英语。	她没有学过英语。
中间有一间小屋子。	小屋子在中间。
每个符号对应一种意义，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。	每个符号对应一种意义，两个或几个符号的意义相同，也就是一个符号表示几种意义的情况不存在。
我们有能力打进决赛。	我们可以打进决赛。
这个人办起事来，别提多啰嗦了。	这个人办起事来，太多啰嗦了。
这让他没了面子，而且还给他带来了不小的经济损失。	这不光让他没了面子，还给他带来了不小的经济损失。
兄弟两个谁也不服谁。	兄弟两个都不服气对方。
我爸非打死我不可。	我要被我爸打死。
我们叫他叶半仙。	他被我们叫做叶半仙。
她看花了眼睛。	眼睛被她看花了。
人人都看见了。	难道有人没有看见吗。
我问你一件事。	问你一件事。
你扮演我们的交通员，让敌人抓住了。	你扮演我们的交通员，叫敌人抓住了。
人人我都通知到了。	每个人我都通知到了。
这次我只考了80分，你呢？	我只考了80分，你咋样？
他问我会议什么时候结束。	他像我咨询会议还要多久结束。
我给了她一只笔。	她拿了我一支笔。
他的数学不怎么好。	他数学不怎么会。
忘锁门了，我！	我忘记锁门了！
他拿了我一本书。	他把我的一本书拿走了。
她讨了个没趣儿。	她自讨没趣儿。
我想喊他等等我，却又怕他笑我胆小害怕，不叫他，我又真怕一个人摸不到那个包扎所，更怕一个人在那儿打吊瓶。	我想喊他等等我，却又怕他笑我胆小害怕，如果不叫他，我又真怕一个人摸不到那个包扎所，更怕一个人在那儿打吊瓶。
下课后，大伙有的在踢毽子，有的在打乒乓球，还有的在跑步，都在积极的锻炼身体。	下课后，大伙有的在打乒乓球，有的在踢毽子，还有的在跑步，都在积极的锻炼身体。
你不会在里头给他来个扫堂腿？	你是不是在里头给他来个扫堂腿？
闹得个满城风雨。	闹得人人皆知。
处处我都检查过了。	我处处都检查过了。
不就是二十块钱嘛。	就是二十块钱嘛。
屋子左边墙上挂满了玉米棒子。	玉米棒子挂在屋子左边墙上。
一喝就醉。	酒一喝就醉。
唐代有个诗人。这个诗人叫李白。	有个叫李白的唐代诗人。
太棒了！	好棒啊！
树旱死了。	树被旱死了。
我用这把刀切肉。	我拿这把刀切肉。
2001年的白庙尚且如此贫穷，六年之前就更是可想而知了。	白庙在2001年都如此贫穷，六年前就更不用说了。
他的主意没个更改。	他的主意不更改。
关山月，广东阳江人。	关山月出生在广东阳江。
父亲一句话也没有说。	父亲什么也没说。
大海上没有波涛。	大海上风平浪静。
儿媳妇炒出来的菜香喷喷的。	香喷喷的菜是儿媳妇炒出来的。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不但是未来做主角的必经之路，还是在北京生存的打工方式之一。
谁都知道事情的真相。	都知道事情的真相。
不知不觉我学会了广州话，而且说的还不错。	不知不觉我学会了广州话，并且说的还不错。
大家互相在纪念册上签名留念。	大家都在纪念册上签名留念。
你就甭说了！	甭说了您！
我一共给了小王五十块钱。	我总共给了小王五十块钱。
柜子叫小弟给翻得乱七八糟。	柜子让小弟翻得乱七八糟。
我们在哪些地方做的不对，或者不够令人满意？	我们在哪些地方做的不够令人满意？
这位老大娘说不定还会送你一双绣花鞋呢。	这位老大娘说不定还会把一双绣花鞋送给你呢。
饺子全让他吃光了。	饺子全被他吃光了。
他看书看累了。	他累了因为看书。
你不觉得我们的战士很可爱吗？	你不应该觉得我们的战士很可爱吗？
有你的电视看。	你可以看电视。
当官不为民做主，不如回家卖红薯。	如果当官不为民做主，还不如回家卖红薯。
寄了一笔钱给妈妈。	寄给了妈妈一笔钱。
他不看电影。	他电影不看。
她收了我一百块钱。	我的一百块钱被她收了。
他明明知道下午有事。	他肯定知道下午有事。
谁都知道事情的真相。	事情的真相谁都知道。
不管我们如何好说歹说，他却仍然是无动于衷。	不管我们如何好说歹说，他总是无动于衷。
年轻时我也漂亮过。	我年轻的时候很漂亮。
有钱没处花。	钱多的没处花。
每次出差回来都给她带礼物，要不然就一定给你脸子看。	记得出差回来给她带礼物，否则她一定会给你脸子看。
这样的处理打破了历来的规矩。	这样的处理打破了原来的规矩。
谁都知道事情的真相。	事情的真相没有谁不知道。
连同刚才那一碗，他一共吃了三碗。	他一共吃了三碗，连同刚才那一碗。
你陪我去趟佛山吧。	我们一起去趟佛山吧。
谁也不知道事情的真相。	没人知道事情的真相。
他叫汽车撞倒了。	汽车撞到了他。
树上飞来一只鸟。	树上来了一只鸟。
少不了你的小说看。	有你的小说看的。
我下了楼，在门口买了几个大红桔子，塞在手提袋里，踏着歪斜不平的石板路，走到那小屋的门口。	我先下了楼，接着在门口买了几个大红桔子，塞在手提袋里，踏着歪斜不平的石板路，最后走到那小屋的门口。
为人民服务！	服务为了人民！
我喝酒喝了半个月的工资。	我用半个月的工资来喝酒。
实际上，当地政府多年来对市场别说干预，连辅助性的行为都很少。	实际上，多年来当地政府对市场很少有辅助性行为，更别说干预。
他把手表放到耳边听了听。	他听了听放到耳边的手表。
说实在的，我不喜欢那种款式的衣服。	说实话，我不喜欢那种款式的衣服。
那人看着都乏味。	看着那人都乏味。
西兰花菜农已收割完毕。	西兰花已经被菜农收割完毕。
你不以我们的祖国有着这样的英雄而自豪吗？	你不应该为我们的祖国有着这样的英雄而自豪吗？
他看书看累了。	因为看书他累了。
可把我给吓坏了！	我被吓坏了！
这个问题他们也许已经解决了。	这个问题他们可能已经解决了。
广东哪里最好玩啊？	广东最好玩的地方在哪？
他已经通知了所有人。	没有人不被他通知。
他买了王教授一本书。	他买了书。
他抢了我一张邮票。	我的一张邮票被他抢了。
他最常去那里。	那里他经常去。
我困死了。	我太困了。
刚让岳父岳母给关进洞房就让你这丫头片子给提溜出来了。	刚让岳父岳母给关进洞房就被你这丫头片子给提溜出来了。
当官不为民做主，不如回家卖红薯。	当官不为民做主，倒不如回家卖红薯。
赵嬷嬷也笑个不住。	赵嬷嬷也笑个不停。
因为这件事，小田受到了表扬。	由于这件事，小田受到了表扬。
因为闹了一点小矛盾，彼此就不再来往了。	彼此之间闹了一点小矛盾，所以不再来往了。
不就是二十块钱嘛。	就是区区二十块钱嘛。
墙上挂着齐白石的画。	墙上挂有齐白石的画。
昨天监狱里跑了一个犯人。	监狱里昨天跑了一个犯人。
请大家安静一点。	请大家不要喧哗。
杯子被打破了。	打破了杯子。
旧房改造问题政府专门下了一个通知。	政府专门下了一个通知解决旧房改造问题。
他们家死了一盆花。	他们家死了一盆花。
我习惯喝咖啡不放糖。	我喝咖啡不习惯放糖。
每个符号对应一种意义，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。	每个符号对应一种意义，即，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。
你这么做，还要不要命了？	你不要这么做，会没命的！
我没去，我怎么知道她在不在场呢？	我没去，我不可能知道她在不在场？
这儿的网速比家里快。	家里的网速比这儿的网速慢。
小红哭湿了枕头。	枕头被小红哭湿了。
姊妹们和气，也有个分寸礼节，也没个黑家白日闹的。	姐妹们和气，要注意分寸礼节，不能没日没夜的闹。
逗得我们哈哈大笑。	我们被逗得哈哈大笑。
那声音引导着她暂时与厂区生活拉开了距离。	她被那声音引导着暂时与厂区生活拉开了距离。
他现在比以前好多了。	他现在对比以前好多了。
各位回去好好想一想，咱们尽快有个结果。	希望各位回去好好考虑下，咱们尽快有个结果。
在悬崖峭壁间开辟出一条路来尚且不易，更何况是修建寺庙！	别说在悬崖峭壁间修建寺庙，就连开辟出一条路来都不易！
她坚决不去，除非你陪她去。	除非你陪她去，她才去。
那是力争上游的一种树，笔直的干，笔直的枝。	它由笔直的干和枝，是力争上游的一种树。
老兄！	兄弟！
她今天恐怕不会来了。	今天估计她不会来了。
老李拿我们当小孩儿。	老李把我们当小孩儿看待。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不但是未来做主角的必经之路，也是在北京生存的打工方式之一。
我曾经跟他在一起工作过三年。	我曾经跟他共事三年。
不知不觉我学会了广州话，而且说的还不错。	我不但不知不觉学会了广州话，而且说的还不错。
我借给了小王两本小说。	我借给小王两本书了。
比尔送了乔伊斯一件礼物。	乔伊斯收到了比尔的一件礼物。
西兰花菜农已经收割完毕。	菜农已经把西兰花收割完毕。
明天晴天。	明天是晴天。
学校里调来了一位女教师。	一位女教师被调到学校里来了。
好好学习汉语。	汉语要好好学习。
除了附表和说明，这篇文章不过两千五百字。	这篇文章除了附表和说明不过两千五百字。
我得给他们提个醒。	我必须给他们提个醒。
新同学都办完了入学手续。	所有新同学都办完了入学手续。
杯子里面的水。	杯子里面有水。
冰箱里的东西全被吃干净了。	冰箱里的东西都被吃完了。
他一路上没说话。	一路上他没说话。
打一次球累好几天。	累好几天因为打一次球。
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，谴责着美国对伊拉克的军事占领，却又主动向美国控制下的伊拉克临时管理委员会示好。
他时刻不忘自己的职责。	他从不忘自己的职责。
桅杆被狂风吹断了。	狂风吹断了桅杆。
细心的室友姚萌看出了陈晓澜的心思。	陈晓澜的心思被细心的室友姚萌看出来了。
请进！	请您进来吧！
再睡就天亮了。	再睡天就亮了。
质量好极了。	质量非常好。
他玩起来没个完。	他太喜欢玩了。
桅杆被狂风吹断了。	狂风把桅杆吹断了。
我昨天写好了一封信。	昨天我写了一份信。
我一定把驾驶执照考下来，只要你给我时间。	如果你给我时间，我便一定把驾驶执照考下来。
我们今天上中文课。	今天我们上中文课。
这个公园逛了我们一个下午。	我们在这个公园逛了一下午。
文化活动可以导致人们的行为趋同，就是说，人们的心里状态在文化的作用下呈现出一致性。	文化活动可以导致人们的行为趋同，换句话说，人们的心里状态在文化的作用下呈现出一致性。
他哪里知道人家是在笑话他。	他不知道人家是在笑话他。
留着他们一起吃午饭吧。	把他们留下一起吃午饭吧。
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	只有做了广泛深入的调查研究，得出的结论才可能让人们信服。
我看电影看了八十块钱。	我看电影花了八十块钱。
马上出发！	立刻出发！
请进！	请进来吧！
我知道他明天来。	他明天来这我知道。
看的书都放在桌子上。	放在桌子上的书都是要看的。
喜欢不喜欢？	喜欢不？
他一边上学，一边打工挣学费。	他边打工挣学费边上学。
教室里跑出一群孩子。	一群孩子从教室跑出来。
历史的教训告诉我们，落后就要挨打。	历史的教训告诉我们落后就要挨打。
我妈妈姓冯，我爸爸也姓冯。	我爸姓冯，我妈也姓冯。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，既可以放养，也可以像饲养普通鸡那样进行笼养。
千万别大意！	千万不敢大意！
快出村口时，回头再看一眼自己住了十多年的老屋，刘华生的心里一阵酸楚。	快出村口时，刘华生回头再看一眼自己住了十多年的老屋，心里一阵酸楚。
你能把门打开吗？	把门打开好吗？
她叠好了被子。	她把被子叠好了。
东西全给吃光了。	东西全被吃完了。
他的主意没个更改。	他的主意很坚定。
我借给了小王两本小说。	我借给小王两本书。
一个大方的人，他不会做这种小气的事。	大方的人不会做这种小气的事。
老人家身板很硬朗。	老人家身体很硬朗。
我喝酒喝了半个月的工资。	我喝酒花了半个月的工资。
他一口饭没吃。	一口饭他都没吃。
他说起话来没个完。	他说起话来没完没了。
这人一面对我言听计从，一面却又在背后搞小动作。	这人一方面对我言听计从，另一方面却又在背后搞小动作。
小王看完了书。	小王把书看完了。
出门在外没个不累的。	出门在外所有人都累。
这两个问题不同。	不一样的两个问题。
她又租了我一间房。	我又租了一间房给她。
这人一面对我言听计从，一面却又在背后搞小动作。	这人表面对我言听计从，背后却又搞小动作。
我没去，我怎么知道她在不在场呢？	我不知道她在不在场，因为我没去？
你什么时候也信起这一套了？	你信这一套吗？
我派他去北京。	我派他去的是北京。
演讲比赛谁报名了？	谁报名参加演讲比赛了？
少不了你的小说看。	可以看很多小说。
这两天闷的慌。	这两天非常闷。
这间房子将能容纳十个人。	这间房子能住十个人。
杯子刚刚被他打破了。	他刚刚把杯子打破了。
他拿了王教授一本书。	他拿了王教授的一本书。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不仅是未来做主角的必经之路，还是在北京生存的打工方式之一。
因为一点小矛盾，彼此就不再来往了。	因一点小矛盾，彼此就不再来往了。
对于家庭琐事，他从来不放在心上。	他对于家庭琐事从来不放在心上。
那个高个子肯定是乙班的，但是我想不起他叫什么名字了。	那个高个子肯定是乙班的，但我就想不起他叫什么名字了。
因为这件事，小田受到了表扬。	小田因为这件事受到了表扬。
我们通常星期四下午开碰头会。	星期四下午我们通常开碰头会。
小吃摊儿旁边围着很多人。	很多人围在小吃摊旁边。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	虽然风的速度遇到防护林就减少了百分之七十到八十，但是到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
我吃饭吃了八百块钱。	八百块钱被我吃饭了。
闹绯闻也成了名。	因闹绯闻成了名。
这一次，投资者仅仅是“有望收回成本”，换句话说，很可能赔本！	这一次，投资者仅仅是“有望收回成本”，就是说，赔本的可能性很大！
唯有加深了解，才能相互信任与合作。	必须加深了解，否则不可能相互信任与合作。
唉！天知道！	唉，谁知道呢！
我找个朋友，别人托我办点事儿。	别人托我找个朋友办点事儿。
我跟这个人通过信。	这个人跟我通过信。
你现在这样的成绩，说实话，很难拿到奖学金。	说实话，你现在这样的成绩，想要拿到奖学金很难。
约翰偷了一辆自行车给玛丽。	玛丽有一辆约翰给她偷的自行车。
在挪威屠杀惨案中，85人被害。	挪威屠杀惨案中85人遇害。
由于工作的关系，我们在长沙逗留了几天。	由于工作的原因，我们在长沙逗留了几天。
他有的是钱。	他很有钱。
不管我们如何好说歹说，他却仍然是无动于衷。	不论我们如何好说歹说，他仍然是无动于衷。
我派他去北京。	他被我派去北京。
除非能证明他当时在现场，否则此事与他无关。	此事与他无关，除非能证明他当时在现场。
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	通过宏观调控，保持了经济快速发展的良好势头，纠正了经济增长过程中的不健康因素。
那么好的人你怎么看不上他。	他那么好的人你怎么看不上。
东西全给吃光了。	没有什么东西吃剩下了。
那幢楼高不了。	那幢楼不会高。
书上写着名字。	书上写有名字。
他的身体不如从前硬朗了。	他的身体不比从前了。
他一点苹果没吃。	他苹果一点都没吃。
我起码看过五遍。	我看过不止五遍。
只要她一去接电话，孩子就会大哭大闹。	只要她去接电话，孩子就大哭大闹。
奶奶告诉我一个天大的秘密。	奶奶把一个天大的秘密告诉了我。
柜子叫小弟给翻得乱七八糟。	柜子被小弟翻得乱七八糟。
除非能证明他当时在现场，否则此事与他无关。	如果不能证明他当时在现场，那么此事与他无关。
这一次，投资者仅仅是“有望收回成本”，换句话说，很可能赔本！	这一次，投资者仅仅是“有望收回成本”，就是说，很可能赔本！
你陪我去趟佛山吧。	咱俩去趟佛山吧。
这部电影值得一看。	这部电影可以看一看。
一张小嘴，别提多会说话了。	一张小嘴，太会说话了。
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	除非做了广泛深入的调查研究，否则不可能得出让人们信服的结论。
他把手表放到耳边听了听。	他把手表放到耳边，然后听了听。
别人都走了，你怎么还不走？	别人都走了，你为什么不走？
这就是小王看完书的地方。	小王看完书的地方是这。
您要是再给她一个不痛快，我就把您这两年做的事都告诉哥哥。	您要是再让她不痛快，我就把您这两年做的事都告诉哥哥。
她看花了眼睛。	她的眼睛看花了。
没你这么干的。	你这么干不对。
我们不一定去问他。	我们不用非得问他。
西兰花菜农已收割完毕。	菜农已经把西兰花收割完毕。
唯有加深了解，才能相互信任与合作。	除非加深了解，否则不可能相互信任与合作。
东西全给吃光了。	所有东西被吃的一干二净。
对！首先让我向大家做个自我介绍吧。	让我首先向大家做个自我介绍吧。
人人我都通知到了。	我通知了每个人。
因为闹了一点小矛盾，彼此就不再来往了。	彼此因为闹了一点小矛盾就不再来往了。
这个问题讨论了我们半天。	半天时间被我们用来讨论这个问题。
留下了一点后遗症。	留下了许多后一症。
这座楼盖得别提多结实了。	这座楼盖得相当结实。
他这个人没个正经的。	他不正经。
轮番的轰炸后，这个美丽的小镇被夷为平地。	轮番的轰炸夷平了这个美丽的小镇。
人人都看见了。	没有人没看见。
到时候我们不得学个文件什么的。	我们到时候得学个文件什么的。
我是中大的学生，他是中大的老师。	我们都是中大的，他是老师，我是学生。
两件共计五十元。	五十元两件。
当我回家的时候，他们已经睡着了。	我回家的时候，他们都已经睡着了。
把窗户开一下吧！	打开一下窗户吧！
咱俩谁跟谁呀。	哥两关系好呀~。
我借给了小王两本小说。	小王的两本书被我借了。
揍你个生活不能自理。	痛恨你生活不能自理。
什么事语法？简单的说，就是组词造句的规则。	简单的说，组词造句的规则就是语法。
考试是手段，而不是目的。	考试只是手段，而不是目的。
他吧，从小就爱看小说。	他打小就爱看小说。
我刚来了一会儿。	我刚刚才来。
我写好了信。	信被我写好了。
我做题做了三个小时。	这道题要做我三个小时。
喝酒不开车，开车不喝酒！	喝酒了就别开车，要开车就别喝酒！
鲸鱼是一种哺乳动物。	鲸鱼是哺乳动物。
鲁大嘴拿起高中的课本，没有看几页，便开始犯困。	鲁大嘴拿起高中的课本，没有看几页，他便开始犯困。
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	通过宏观调控，一方面保持了经济快速发展的良好势头，另一方面纠正了经济增长过程中的不健康因素。
他打破了杯子。	杯子被他打破了。
不应该只看到个别动作像不像，而是要看舞蹈中表现的情感可能不可能存在。	不仅要看到个别动作像不像，而且要看舞蹈中表现的情感能否存在。
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	想要得出让人们信服的结论，就必须做广泛深入的调查研究。
那只凶恶的老虎被武松打死了。	武松把那只凶恶的老虎打死了。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，可以像饲养普通鸡那样笼养，也可以放养。
他喝酒喝多了。	他喝醉了。
方法始终不变。	方法没有不变。
她吃坏了肚子。	她把肚子吃坏了。
我困死了。	我非常困。
师傅比我更懂得如何做人。	在如何做人上师傅比我懂得多。
他在村子里各处仔仔细细地看了个遍，这才上车。	他先在村子里各处仔仔细细地看了个遍，然后才上车。
渔民的光景，一年更比一年强。	渔民的光景一年比一年好。
我爸非打死我不可。	我爸要把我打死。
你们那儿的房子贵不贵呢？	你们那的房子贵不？
他们都在说笑小王。	小王在被他们说笑。
他逃脱不了法律的制裁，尽管他爸爸是李刚。	他逃脱不了法律的制裁，虽然他爸爸是李刚。
塑料不腐烂分解是一大长处，因为当塑料垃圾被深埋时，他永远不会变成任何有毒的化学物质污染人类生存的环境，而且即便被焚烧，大部分塑料也不会释放出有毒气体。	塑料垃圾被深埋时，他永远不会变成任何有毒的化学物质污染人类生存的环境，而且即便被焚烧，大部分塑料也不会释放出有毒气体，所以塑料不腐烂分解是一大长处。
他破了个例。	他破例了。
这让他没了面子，而且还给他带来了不小的经济损失。	这不仅让他没了面子，而且还给他带来了不小的经济损失。
老爷爷拄着拐棍过马路。	老爷爷过马路要拄着拐棍。
我妈妈姓冯，我爸爸也姓冯。	我爸妈都姓冯。
她用那把刀切菜。	她切菜用那把刀。
他不见得就弄懂了。	他可能还没有弄懂。
度假我们去海南，还是去马尔代夫？	我们度假去马尔代夫，还是去海南？
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不光可以帮助人家解一时的燃眉之急，而且可以借机先锻炼一下自己。
姐姐比我多吃了不少苦。	我吃的苦没姐姐多。
地震与海啸令这个国家的经济又倒退了十年。	地震与海啸使这个国家的经济又倒退了十年。
这位刘先生，他是个有钱人。	这位刘先生肯定是个有钱人。
原来我也有枝这样的笔来着。	原来我也有枝这样的笔。
这孩子十分活泼。	这孩子很活泼。
人人都知道这件事。	这件事人人都知道。
他时刻不忘自己的职责。	他时时不忘自己的职责。
出门在外没个不累的。	人出门在外都很累。
人人都看见她了。	每个人都见到她了。
你要包子，油条，还是煎饼呢？	你要煎饼、油条，还是包子？
老张家的房子厨房不大。	老张家有厨房不大的房子。
她马上傲慢地环视了一下会场。	马上她傲慢地环视了一下会场。
钱包别给小偷偷了。	别让小偷偷了钱包。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不光大家伙都省事，你自己还可以少跑两趟嘛。
我一定把驾驶执照考下来，只要你给我时间。	只要你给我时间，我就一定把驾驶执照考下来。
小刚英语说得不好。	小刚英语说的一般。
凡是玩的事儿，没他不参加的。	只要是玩的事儿，他都参加。
东西全给他吃光了。	他吃光了所有东西。
她的认真感动了我们。	她的认真真的真的感动了我们。
毕业后，要么读研，要么出国留学。	毕业后，或者出国留学，或者读研。
他教我们化学。	我们化学是他教。
中文系一年级有多少男生呢？	中文系一年级男生有多少？
文化活动可以导致人们的行为趋同，就是说，人们的心里状态在文化的作用下呈现出一致性。	文化活动可以导致人们的行为趋同，即在文化的作用下人们的心里状态呈现出一致性。
她的漂亮打动了每一个人。	每个人都被她的漂亮打动了。
这个房间舒服的多。	这个房间要舒服好多。
他高兴坏了。	他很高兴。
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，谴责美国对伊拉克的军事占领的同时却又向美国控制下的伊拉克临时管理委员会主动示好。
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球既绕着太阳公转，同时也绕着他自己的地轴不停的自转。
最近，妈妈一直被失眠所困扰。	最近，失眠一直困扰着妈妈。
这把刀我切肉。	切肉我用这把刀。
他已经通知了所有人。	所有人都已经被通知了。
你们那儿的房子贵不贵呢？	你们那的房子贵吗？
门给风吹开了。	风把门吹开了。
这事听着都新鲜。	听着这事挺新鲜的。
人人都知道这件事。	没人不知道这件事。
她买了小王一件衣服。	她从小王那买了一件衣服。
我给老师写信。	我写信给老师。
他两顿饭没吃。	他没吃这两顿饭。
这两个问题相同。	一样的两个问题。
实际上，当地政府多年来对市场别说干预，连辅助性的行为都很少。	实际上，当地政府多年来对市场的辅助性行为很少，更别说干预。
冬至以来，这里不是下雨就是下雪。	冬至以来，这里不下雪就下雨。
这事叫你说着了。	这事被你说着了。
多么善良的母亲。	这位母亲多么善良呀。
她收了我一百块钱。	我给了她一百块钱。
每次出差回来都给她带礼物，要不然就一定给你脸子看。	每次出差回来都给她带礼物，否则就一定给你脸子看。
这两个问题相同。	这两个问题是相同的。
她离开广州已经好几年了。	她已经离开广州好几年了。
我的老天爷呀！	我的天呀！
如果说过去还有点糊涂，那么今天却已经是完全清醒了。	如果说过去还有点糊涂，那么今天是已经完全清醒了。
雷锋精神不但没有过时，而且永远不会过时。	雷锋精神现在没有过时，而且以后也不会过时。
钱放在手里贬值太厉害，不如拿出去投资。	钱放在手里贬值太厉害，应该拿出去投资。
句句都说到了我的心窝里。	每句话都说的正对我的心里。
他修好了电脑。	他的电脑被他修好了。
你为什么不答应他？	不答应他，你给我个理由？
余德利抬头发现李东宝的目光很慌。	余德利抬头发现李东宝慌乱的目光。
他刚走了两个钟头你就回来了。	他走了两个小时你就回来了。
挑剔的母亲又逼着裁缝把做好的衣服修改了两次。	裁缝被挑剔的母亲逼着把做好的衣服又修改了两次。
丽丽哭红了眼睛。	哭红眼睛的是丽丽。
我写信写了一个晚上。	我给他写了一个通宵的信。
这封信写了我一个晚上。	我花了一个晚上来写这封信。
杯子被我打破了。	我把杯子打破了。
这叫你说着了。	这被你说着了。
衣服被火星烧出一个洞。	火星把衣服烧出一个洞。
丽丽哭红了眼睛。	哭红了丽丽的眼睛。
不管你说什么，他总是听不进去。	无论你说什么，他都听不进去。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	遇到防护林，风的速度固然就减少了百分之七十到八十，然而是到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
她没有半点私心。	她大公无私。
他喝穷了一家子。	他家是被喝穷的。
什么她都爱买。	她什么都喜欢买。
他又安静地投入到工作中去了。	他又安静地去工作了。
树上飞来一只鸟。	一只鸟飞到树上。
这让他没了面子，而且还给他带来了不小的经济损失。	这让他没了面子，给他带来了不小的经济损失。
人人我都通知到了。	我通知到了每个人。
我们就去帮他的忙。	我们帮助他。
他一边上学，一边打工挣学费。	他边上学边打工挣学费。
这部电影值得一看。	这部电影很有看的价值。
在悬崖峭壁间开辟出一条路来尚且不易，更何况是修建寺庙！	在悬崖峭壁间别说修建寺庙，就连开辟出一条路来都不易！
小红帽没有被狼外婆吃掉。	狼外婆没有吃掉小红帽。
那个高个子肯定是乙班的，但是我想不起他叫什么名字了。	那个高个子肯定是乙班的，但是我记不得他的名字了。
这个难题被技术部门及时攻克。	技术部门及时把这个难题攻克了。
冬至以来，这里不是下雨就是下雪。	冬至以来，这里不下雨就下雪。
千万别大意！	千万别粗心！
比尔送了乔伊斯一件礼物。	比尔把一件礼物送了乔伊斯。
参加奥运会的运动员名单已经确定了。	已经确定了参加奥运会的运动员名单。
他不比你强多少。	你不比他差多少。
我冲着他笑了笑，然后继续唱歌。	我冲着他笑了笑，继续唱歌。
凡是学校的事儿，没他不管的。	只要是学校事，他都管。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	风的速度遇到防护林就减少了百分之七十到八十。到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
这位老大娘说不定还会送你一双绣花鞋呢。	说不定这位老大娘还会送你一双秀花鞋呢。
他难道会介意这些事情吗？	这些事情他难道会介意？
刮风的天气。	天在刮风。
他的主意没个更改。	他没有更改他的主意。
必要的话可以搞个竞选会。	需要的话可以弄个竞选会。
她今天恐怕不会来了。	可能她今天不会来了。
钱包别给小偷偷了。	钱包别叫小偷偷了。
他的主意没个更改。	他的主意没有更改。
他说破了嘴。	嘴都被他说破了。
这儿的网速比家里快。	家里的网速比这儿慢。
你们两个人谁也别埋怨谁了。	你们两个别互相埋怨了。
下课了没有？	下课了没？
我们没有不同意。	我们同意了。
还欠三万块钱没有还。	还有三万块钱没有还。
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球绕着他自己的地轴不停的自转，同时又绕着太阳公转。
